model|params|mean_test_score|std_test_score|rank_test_score
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 50, 'num_leaves': 150}|0.9124050012257904|0.0018536793463037|35
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 31}|0.9119310288469396|0.0015519367920131|48
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 50}|0.9132221949824304|0.0019352832165682|23
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 100}|0.91403938873907|0.0018343042048342|5
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 150}|0.9132303669199968|0.0018031302002069|22
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31}|0.9134755250469888|0.0021606392753671|17
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 50}|0.9138922938628748|0.0020396475159561|10
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 100}|0.914161967802566|0.0021647769560166|3
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 150}|0.912535752226853|0.0021718913162676|34
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 31}|0.9091689139494974|0.0020125211009274|58
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 50}|0.9107542698373784|0.0019632048917473|52
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 100}|0.9120454359728692|0.0019904330472252|45
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 50, 'num_leaves': 150}|0.912682847103048|0.0020860061177918|32
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 31}|0.9120454359728692|0.0017904937128227|45
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 50}|0.9130424123559696|0.0020019412437021|26
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 100}|0.9140557326142028|0.001733645305387|4
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 100, 'num_leaves': 150}|0.9133529459834928|0.0022040913953037|21
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 31}|0.9137451989866796|0.0020662239545244|14
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 50}|0.9142028274903978|0.0018493511791035|2
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 100}|0.913565416360219|0.0019466714826663|16
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 30, 'n_estimators': 200, 'num_leaves': 150}|0.913009724605704|0.0021220304905473|27
LightGBM|{'learning_rate': 0.1, 'min_child_samples': 50, 'n_estimators': 50, 'num_leaves': 31}|0.9087521451336112|0.0020071050590211|63
